game_no,player_no,round_no,primal_type,kicker_type,kicker_len,combo_str,primal_str,current_str,up_str,down_str
1,1,1,2,0,0,345678,345678,3344577899JJQQQ22,6TJJQKKKAAA2SB,34556678899TTTKA2
1,2,1,0,0,0,,,34556678899TTTKA2,3344577899JJQQQ22,6TJJQKKKAAA2SB
1,3,1,2,0,0,456789,456789,6TJJQKKKAAA2SB,35689TTTKA2,3344577899JJQQQ22
1,1,2,7,0,0,SB,SB,3344577899JJQQQ22,6TJJQKKKAAA2,35689TTTKA2
1,2,2,0,0,0,,,35689TTTKA2,3344577899JJQQQ22,6TJJQKKKAAA2
1,3,2,0,0,0,,,6TJJQKKKAAA2,35689TTTKA2,3344577899JJQQQ22
1,1,3,8,1,1,6KKK,KKK,3344577899JJQQQ22,TJJQAAA2,35689TTTKA2
1,2,3,0,0,0,,,35689TTTKA2,3344577899JJQQQ22,TJJQAAA2
1,3,3,0,0,0,,,TJJQAAA2,35689TTTKA2,3344577899JJQQQ22
1,1,4,3,0,0,JJ,JJ,3344577899JJQQQ22,TQAAA2,35689TTTKA2
1,2,4,3,0,0,QQ,QQ,35689TTTKA2,3344577899JJQ22,TQAAA2
1,3,4,0,0,0,,,TQAAA2,35689TTTKA2,3344577899JJQ22
1,1,5,3,0,0,AA,AA,3344577899JJQ22,TQA2,35689TTTKA2
1,2,5,3,0,0,22,22,35689TTTKA2,3344577899JJQ,TQA2
1,3,5,0,0,0,,,TQA2,35689TTTKA2,3344577899JJQ
1,1,6,0,0,0,,,3344577899JJQ,TQA2,35689TTTKA2
1,2,6,1,0,0,3,3,35689TTTKA2,344577899JJQ,TQA2
1,3,6,1,0,0,A,A,TQA2,35689TTTK2,344577899JJQ
1,1,7,1,0,0,2,2,344577899JJQ,TQA,35689TTTK2
1,2,7,0,0,0,,,35689TTTK2,344577899JJQ,TQA
1,3,7,0,0,0,,,TQA,35689TTTK2,344577899JJQ
1,1,8,1,0,0,T,T,344577899JJQ,QA,35689TTTK2
1,2,8,1,0,0,J,J,35689TTTK2,344577899JQ,QA
1,3,8,1,0,0,K,K,QA,35689TTT2,344577899JQ
1,1,9,1,0,0,A,A,344577899JQ,Q,35689TTT2
1,2,9,0,0,0,,,35689TTT2,344577899JQ,Q
1,3,9,1,0,0,2,2,Q,35689TTT,344577899JQ
1,1,10,0,0,0,,,344577899JQ,Q,35689TTT
1,2,10,0,0,0,,,35689TTT,344577899JQ,Q
1,3,10,8,1,1,3TTT,TTT,Q,5689,344577899JQ
1,1,11,0,0,0,,,344577899JQ,Q,5689
2,1,1,9,2,1,33666,666,3556779TTJQQKKAA2,478899TJJKK22SB,3444557889TJQQAA2
